rank,name,level,win
1,iiwandy,68,287
2,roookie,57,213
3,어상내하,48,129
4,SwordArt77777,65,265
5,nodfan,98,150
6,feng jin che hu,48,137
7,Monster toys,78,341
8,T1Zeus,46,110
9,이 차가 식기전에,568,300
10,오늘의가습기누구,534,229
11,LSB Kael,287,180
12,zxcasqwe,65,250
13,Carecare1,60,212
14,MUDAI,216,287
15,채은누나 예쁘다 ,338,223
16,농심라면다내꺼야,227,202
17,dalongmeil,59,199
18,댕청잇,224,113
19,디알엑스 태윤,233,159
20,jie yao,51,130
21,xiaozhewan,69,281
22,knightt,61,216
23,전상득,459,408
24,쪼렙이다말로하자,554,198
25,타 잔,366,175
26,왁컬로이두,186,103
27,Needquiet,64,249
28,fragiIe,231,283
29,viper3,446,122
30,JUGKlNG,333,158
31,srysrysrysrysr,55,191
32,lIlIIllIlIIllIlI,237,101
33,KT Castle,656,177
34,우찬굳,264,94
35,LSB Envy,233,319
36,BRO Delight,653,187
37,geti246,45,106
38,zzzusss,187,104
39,asdasasdasd,73,317
40,희동1,46,113
41,FA Chasy,339,320
42,메가 영재,536,312
43,tong hua baby,73,211
44,dou ta ma biewan,57,162
45,1987456144Q,46,108
46,가민준,146,251
47,cutelin,58,206
48,J God1,103,426
49,T1 Gumayusi,489,170
50,ziyou,315,127
51,잘했지 칭찬해줘,202,148
52,yi jian tian hai,71,165
53,헤나의 룩북,329,181
54,Gen G Peyz,412,192
55,Dont Start Now,649,221
56,lhyzz,119,284
57,qwetyz,61,225
58,칼과 창 방패,502,226
59,Seven,479,210
60,cainiao3hao,58,203
61,정훈이의 모험,372,140
62,콩나물이좋아요,680,271
63,vicky99,62,216
64,yjzbaba,53,155
65,삽살의갑갑,47,81
66,Hakunaa Matata,57,190
67,Pa9oda,64,271
68,은가뉴,284,109
69,신입 서폿,128,67
70,징징문,563,206
71,xiangcai,67,149
72,gnswognswo,338,90
73,존중겸손아닥집중,459,183
74,비둘기 도브,586,222
75,DK Lucid,286,215
76,AhnHealth,71,306
77,BRO Morgan,346,117
78,ShellieMay,101,194
79,행복한 태윤이,54,172
80,sicsiksci,192,267
81,1Lq 1Lq,48,128
82,agak,61,151
83,읽씹맨,457,188
84,아아스크림,623,248
85,오뚜기3분미트볼,282,91
86,커피물조절장인,356,234
87,JUG242SH,116,279
88,Rascal,484,161
89,KING MIR,644,359
90,DK Sharvel,323,310
91,dxnbnxddyda,55,198
92,나 요,341,148
93,Gen G Ruler,583,172
94,BRO Hena,788,235
95,HLE Lure,277,143
96,ride on,62,231
97,역시폭군,140,199
98,역천괴,655,164
99,DK Pullbae,271,207
100,LSB Winter,363,185
101,듀얼아카데미입학,329,148
102,Twitch 다훈갓,406,156
103,Xbm,91,229
104,Cc3cC,413,131
105,탑 혜지,394,323
106,NS Sylvie,347,169
107,엉덩국 갱승제료,101,221
108,ToT5,342,172
109,hulatang,70,296
110,snmyj,68,275
111,크로꼬,193,117
112,Ninja33,60,198
113,TES 77,44,96
114,이렐아칼리,173,143
115,신상공원,180,132
116,난화내,436,208
117,Chancedong,417,120
118,asdfdkkksz,54,158
119,IgNar,416,280
120,LCK Progamer,152,195
121,Sweet OwO,159,144
122,kgcjhADHSADN,60,210
123,요플래,371,122
124,Trisak,391,294
125,단군의청춘부재,462,146
126,DWG KIA,449,133
127,내미소에녹아내려,137,115
128,HLE SamD01,48,104
129,LinaBell,139,153
130,구운몽임,183,300
131,Gen G Quid,701,416
132,스털링이게뭔가요,66,227
133,ASD QQQ ZZZ,47,127
134,유준유준유준,72,178
135,아이린,203,130
136,광팔햄,366,282
137,도구는 툴툴,640,121
138,날으는참새1,77,258
139,레전드오브롤1244,382,107
140,ytmr2,58,199
141,jkjkjkjkk,812,279
142,Top clown,126,153
143,UijU,524,193
144,meiyoudalong,57,207
145,부리부리웰시코기,49,130
146,JUNGIE GOD 12,153,297
147,Beau Voyage,299,94
148,재훈이의모함,112,294
149,NS Ruin,322,337
150,132412412,199,82
151,bailanadno1,74,380
152,GGGori,348,209
153,lzay ming,256,168
154,jingjingDebaba,107,183
155,cainiao2hao,174,181
156,땀비몬,462,111
157,qweaszv,525,241
158,bwcx,49,124
159,day1000000000000,124,200
160,zhonglexuruosan,226,141
161,야 망,117,107
162,별이 돼야 해,276,229
163,FPX q2380023067e,103,209
164,Azhy,641,108
165,wdscsafdasf,56,170
166,Like 1999,104,185
167,we1shengjian,203,180
168,V5 R1ch,58,193
169,호랑이는공룡알,289,97
170,HNChaonan,65,259
171,lieguo,58,208
172,구글 검색 코코팀,137,119
173,13aize,185,115
174,Indexy,390,237
175,waiga,59,210
176,hennanbubai,257,219
177,FA TaNa,589,181
178,온 재,135,292
179,fIips,186,241
180,zisu,132,122
181,캐 인,593,408
182,Maguafu,49,105
183,구글 롤 코코팀,45,87
184,UCAL,254,140
185,어쩌라고맞짱뜰까,258,202
186,zhong men dui ju,50,142
187,New year2022,58,204
188,Canna00,476,130
189,opasdwqexz,55,177
190,MIDKlNG,240,90
191,하얗고예쁨,656,149
192,manmanO,203,141
193,NO 15 NO FF,57,195
194,whisper snow,573,365
195,몰랐던,400,143
196,쫌비킹,192,237
197,qqgg,281,304
198,pOnYtAiLmAN,594,180
199,mpljlrpajkkl,145,133
200,코 태,439,185
201,young talent,53,144
202,삼괴권1,92,142
203,bao9,249,130
204,다없수질,489,173
205,모나감우피슬유라,138,165
206,무서워하다20,374,326
207,Epilogue for u,159,426
208,아이유는 내꺼야,116,311
209,M1nit,451,219
210,킬러톱,519,236
211,일산전영찬,81,171
212,콘치즈마싯어,329,191
213,zenbukorosu,120,122
214,어리고싶다,573,249
215,nnmyj,66,258
216,그체연락친추주셈,48,112
217,wisls,100,227
218,열심히해볼생각,223,185
219,율자주세요,431,83
220,농심 바이탈,169,183
221,Uneasy12,492,199
222,FA Na Kyung,481,150
223,wu tiao jian,226,380
224,제드팀 구글 검색,45,85
225,아이엔브이유,48,120
226,Ukyczzz,204,222
227,양희지,212,157
228,Clever9,507,317
229,RinNyang,833,167
230,aaaaaaaaaaaq,54,159
231,18세 기모진,240,150
232,hzdx,63,248
233,T1 Dal,252,265
234,Migungzz,56,131
235,bieshimian,60,164
236,kukukukuku,219,198
237,qseawd,530,122
238,Hide on bush,549,185
239,Honp1,68,133
240,Neth3rworld,260,93
241,fvck yu,53,105
242,트루 러버,507,153
243,adc on1y,175,251
244,PKMNtrainerRed,78,184
245,광연4,222,151
246,Samver,207,193
247,폼 팡,721,161
248,Look to Sky,279,115
249,1달안에챌린저,61,94
250,xiao cai niao,109,227
251,펭귄빙산추락,239,182
252,E T E R N U M l,94,137
253,zxcvkwerty,53,166
254,PowderSn0w,361,142
255,파 고,351,214
256,DK ShowMaker,386,101
257,트위치김수당,593,174
258,뉘셰핑,57,166
259,Recall99,159,109
260,어떡해 1997,256,272
261,조이현내누나,126,92
262,무조건이겨야함,189,123
263,NEED HER,641,188
264,Lumen AD,436,89
265,김잡초,138,218
266,HLE Cracker,196,139
267,직스 좀 믿어줘,446,87
268,cong qian man,122,407
269,노력 끈기 집중,94,491
270,Lehends,483,164
271,군고구마초록매실,75,229
272,Yuukika,47,102
273,NekoL,367,138
274,Heimskaut refur,54,172
275,땅에 묻히다,102,118
276,FPX q2380023067g,57,162
277,T1 Poby,82,272
278,엉덩국 갱승제로,344,250
279,청포도육포,122,180
